nan,circuit_decomposed_num_of_x,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,circuit_decomposed_num_of_measure,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
nan,circuit_decomposed_num_of_h,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
nan,circuit_decomposed_num_of_cswap,32,32,32,32,32,32,32,50,50,50,50,50,50,50,50,50,50,50,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
nan,circuit_decomposed_num_of_swap,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
nan,circuit_decomposed_num_of_cx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,circuit_decomposed_num_of_toffoli,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,circuit_decomposed_num_of_p,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,circuit_decomposed_num_of_t,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,qc_compiled_width,26,26,26,26,26,26,26,32,32,32,32,32,32,32,32,32,32,32,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
nan,qc_compiled_depth,6391,6393,6456,6391,6455,6456,6455,11862,11862,11925,11647,11938,11861,11707,11862,11925,11937,11721,20171,20267,20256,20341,20298,19273,20282,20362,20290,20170,20340,20281,19303,20290,20362,20306,20322,20266,19291
nan,qc_compiled_size,10223,10227,10293,10223,10291,10293,10291,20545,20545,20611,20331,20625,20543,20391,20545,20611,20623,20407,36437,36539,36523,36615,36571,35415,36551,36549,36477,36435,36613,36465,35535,36477,36549,36491,36511,36537,35439
